T,P_CT_WD,P_CT_PV,P_c_Cbu,P_c_CEV,P_c_CPl,P_ess_BAT,P_ess_SC,P_ess_HP,P_CT_rk,e_gri,SOC_BAT,SOC_SC,SOC_HP
0,90656.75,0,-93772.722436305,-0,-0,-24811.19261,-3445.69037,-27122.60809,0,-58495.463506305,0.5,0.5,0.5
3600,95439,0,-97687.7420507246,-1200.75,-0,-24607.15649,-7226.965845,-29237.61873,0,-64521.2331157246,0.537307639078648,0.375028597280824,0.510680509455685
7200,95081.25,0,-94124.5830217391,-1155.25,-0,-22806.3631,-7642.32958785101,-26828.74639,0,-57476.0220995901,0.564775956279394,0.168357577391161,0.521305330834111
10800,49518.5,0,-97432.7420507246,-1103.5,-0,-17288.98404,24070.89894,-22188.15597,0,-64423.9831207246,0.590088008401507,0.345962285285387,0.530594248190962
14400,81625.75,0,-94428.8330217391,-0,-0,-16818.43309,-13424.22648,-15421.5815,0,-58467.3240917391,0.609186686808901,0.466411282408494,0.537721457915598
18000,35428,0,-102317.742050725,-0,-0,-14814.84966,18183.0196826239,-7039.028305,0,-70560.6003331007,0.627676097180577,0.599435079548413,0.541977841697886
21600,83907.25,0,-219256.833021739,-0,-0,-3384.582027,-18206.6120820553,1213.992971,0,-155726.784159794,0.64390001020215,0.401084651924491,0.543081711367595
25200,78572.5,0,-239015.786022713,-0,-16285.3,15812.22032,-5544.97593500962,4757.269567,0,-161704.072070723,0.647591879905832,0.12215368421097,0.540403414647254
28800,3450.75,1637.25,-269809.681102972,-1200.75,-0,27779.42217,28503.105598722,8981.604673,0,-200658.29866125,0.630409263892345,0.372087561578898,0.534241102810519
32400,2332.25,4515.25,-263408.857770613,-1155.25,-0,43104.20549,8126.1355599461,10089.57276,0,-196396.693960667,0.600253786663883,0.820984363380566,0.525687087366249
36000,2050.75,10009,-255393.549010535,-1103.5,-0,48872.10218,2720.94984925455,5730.147226,0,-187114.09975528,0.553286135355521,0.940058522789757,0.51859145157975
39600,2641.5,39977.5,-234730.709801425,-0.75,-0,27911.42161,934.567095245661,3355.822758,0,-159910.648338179,0.499700037312352,0.979411846838537,0.514516111824648
43200,22408.75,43072,-245222.421663196,-1.25,-0,13345.30543,323.423089062004,2108.870631,0,-163965.322513134,0.468828390614062,0.992875113913772,0.512065027102064
46800,66210.25,64300,-285123.174112349,-0,-0,-7640.18785,-24735.18449,2720.131269,0,-184268.165183349,0.453941091054096,0.731084512845594,0.509899069757368
50400,57163.75,34357.75,-372708.33714779,-0,-0,-26415.89474,15014.4463840564,-3135.379369,0,-295723.664872734,0.462501282747236,0.669237528945672,0.509664611491632
54000,74537.5,43827,-323304.255454086,-0,-0,-30928.91601,-20089.43505,-11352.64001,0,-267310.746524086,0.492162036988159,0.638354094605249,0.512410154522637
57600,76828.25,23951.25,-186547.064660395,-0,-0,-27988.32307,-10850.506659987,-16881.45384,0,-141487.848230382,0.526859425954889,0.239032482666813,0.517760638779926
61200,51205.25,2323.5,-184038.955708988,-0,-0,-24601.71669,13391.17413,-19883.94852,0,-161604.696788988,0.55813849039007,0.193264319673232,0.524727843308789
64800,60686.5,0,-212964.119268238,-0,-0,-13941.80851,2816.515957,-22557.44852,0,-185960.360341238,0.58548738128286,0.384856189830452,0.532770673651646
68400,45143.5,0,-269804.846496103,-0,-675.683333333333,-3196.991881,4840.449328,-19169.19852,0,-242862.770902436,0.600907113065595,0.473689460712406,0.540678055743774
72000,47496.25,0,-318387.595609974,-0,-392.983333333333,2884.81383,-6873.606383,-18204.19852,0,-293477.320016307,0.604424755662785,0.449816575422609,0.547760477923366
75600,31841.75,0,-394068.425137559,-0,-616.883333333333,5785.895297,3376.072788,-13867.70916,0,-367549.299545892,0.601260479623188,0.408734832703467,0.553838244684882
79200,12903.5,0,-344054.936590367,-1067,-13641.55,6770.513718,8891.608623,-6407.113412,0,-336604.977661367,0.594919225203836,0.549444471470015,0.557680412227681
82800,13973,0,-139580.934075935,-1396.5,-24824.2,7435.19037,2983.852184,-2561.783625,0,-143971.375146935,0.587494073170384,0.682896671267814,0.559380057438774
