T,Pe_grid,EP_con,EP_gen
0,-58495.463506305,0.093521460298,0.06931
3600,-64521.2331157246,0.02259719409,0.01582
7200,-57476.0220995901,0.017054059886,0.00925
10800,-64423.9831207246,0.012188138913,0.00332
14400,-58467.3240917391,0.011678860923,0.00332
18000,-70560.6003331007,0.01280457939,0.00711
21600,-155726.784159794,0.062434852102,0.04527
25200,-161704.072070723,0.112393489465,0.08567
28800,-200658.29866125,0.150974389224,0.09544
32400,-196396.693960667,0.154930594857,0.09728
36000,-187114.09975528,0.201495333636,0.09522
39600,-159910.648338179,0.202509373434,0.0958
43200,-163965.322513134,0.204240032254,0.09729
46800,-184268.165183349,0.206935123285,0.09939
50400,-295723.664872734,0.163041312508,0.10138
54000,-267310.746524086,0.174945982142,0.11023
57600,-141487.848230382,0.196938299742,0.12911
61200,-161604.696788988,0.202862231841,0.13404
64800,-185960.360341238,0.255333125325,0.13954
68400,-242862.770902436,0.266881526961,0.14817
72000,-293477.320016307,0.283810835121,0.15958
75600,-367549.299545892,0.272585026799,0.14958
79200,-336604.977661367,0.218642191368,0.14159
82800,-143971.375146935,0.199914704823,0.12478
